Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",42.460000,-113.300000,-90.000000,top
"C1","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",64.135000,-110.100000,90.000000,top
"C2","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",48.260000,-84.455000,90.000000,top
"C3","47u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",66.675000,-85.090000,90.000000,top
"C4","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",69.850000,-110.507500,-90.000000,top
"C5","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",70.485000,-103.505000,90.000000,top
"C6","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",64.135000,-103.505000,90.000000,top
"C7","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",53.340000,-85.382500,90.000000,top
"C8","22u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",76.835000,-109.757500,-90.000000,top
"C9","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.360000,-91.572500,-90.000000,top
"C10","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",97.557500,-101.600000,180.000000,top
"C11","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",84.455000,-100.097500,-90.000000,top
"C12","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",103.102500,-93.345000,180.000000,top
"C13","100n","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",80.645000,-66.040000,-90.000000,top
"C14","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",76.835000,-103.407500,90.000000,top
"C_k1","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",60.325000,-85.382500,90.000000,top
"D1","Green","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.520000,-107.950000,180.000000,top
"D2","Red","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.275000,-104.775000,180.000000,top
"D3","SS32","SS32",73.025000,-94.225000,-90.000000,top
"J1","Conn_display2","PinHeader_1x06_P2.54mm_Vertical",70.485000,-65.405000,-90.000000,top
"J2","Conn_display_2","JST_EH_B8B-EH-A_1x08_P2.50mm_Vertical",75.565000,-66.675000,-90.000000,top
"J3","Conn_teclado","JST_EH_B7B-EH-A_1x07_P2.50mm_Vertical",113.965000,-66.795000,-90.000000,top
"J4","Conn_audio","PinSocket_1x07_P2.54mm_Vertical",86.360000,-123.825000,90.000000,top
"J5","USB_B_Mini","USB_Mini-B_AdamTech_MUSB-B5-S-VT-TSMT-1_SMD_Vertical",38.920000,-73.965000,180.000000,top
"J6","Salida_amp","PinSocket_1x02_P2.54mm_Vertical",93.675200,-111.023400,90.000000,top
"J7","Entrada_buzzer","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",124.795000,-108.565000,90.000000,top
"L1","10u","L_6.3x6.3_H3",58.420000,-94.225000,0.000000,top
"L2","33u","L_6.3x6.3_H3",50.800000,-75.775000,-90.000000,top
"R1","1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.252500,-88.265000,180.000000,top
"R2","1","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",42.052500,-97.155000,180.000000,top
"R3","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.267500,-120.895000,180.000000,top
"R4","1.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",54.267500,-113.275000,0.000000,top
"R5","51k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.010000,-91.805000,-90.000000,top
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",103.140000,-97.790000,0.000000,top
"R7","470","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.220000,-93.345000,180.000000,top
"R8","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",79.375000,-116.840000,-90.000000,top
"R9","51k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",97.155000,-97.520000,0.000000,top
"R10","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.885000,-93.345000,0.000000,top
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",74.565000,-60.960000,0.000000,top
"R12","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",63.865000,-72.390000,180.000000,top
"R13","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",115.840000,-60.960000,180.000000,top
"R14","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.380000,-68.580000,180.000000,top
"R15","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.745000,-72.390000,180.000000,top
"R16","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.015000,-76.200000,180.000000,top
"R17","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.015000,-80.010000,180.000000,top
"R18","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.015000,-83.820000,180.000000,top
"R19","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.015000,-87.630000,180.000000,top
"SW1","SW_Push","SW_SPST_CK_RS282G05A3",89.535000,-100.330000,90.000000,top
"SW3","SW_Push","SW_SPST_EVQQ2",118.745000,-97.155000,0.000000,top
"SW4","BW","TerminalBlock_Altech_AK300-2_P5.00mm",73.250000,-120.895000,180.000000,top
"SW5","FW","TerminalBlock_Altech_AK300-2_P5.00mm",109.630000,-109.220000,0.000000,top
"U1","Tp5400","TP5410",53.340000,-103.505000,0.000000,top
"U2","ESP32-WROOM-32","ESP32-WROOM-32",93.698800,-72.522000,0.000000,top
"U3","FT232","PinSocket_1x06_P2.54mm_Vertical",124.485000,-67.335000,0.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",51.257600,-65.495200,0.000000,top
